"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-342-5p",1.28043207731401,5.72969733691527,20.0625097350406,7.49516359464286e-06,4.64123591822116e-05
"hsa-miR-218-5p",-0.98688318492878,8.94312331683682,19.9459185502081,7.96638306684422e-06,4.88604828099779e-05
"hsa-miR-4508",2.72504001392545,3.44265634996903,19.1403758772332,1.21448328617609e-05,7.37855883299433e-05
"hsa-miR-663b",-6.00631723619566,3.09727250541889,18.9803676239517,1.32070383861416e-05,7.94890908474315e-05
"hsa-miR-93-5p",-0.705006873030146,10.7608774325098,18.8731371852393,1.39706209128228e-05,8.33062950727582e-05
"hsa-miR-760",1.30292543112892,6.49819281713059,18.6982569479832,1.53122396195959e-05,9.04686450919243e-05
"hsa-miR-6131",5.14062735183604,1.97676955377454,18.6689903599071,1.55490815547898e-05,9.10328047389512e-05
"hsa-miR-32-5p",-0.946588016874159,7.25241525470271,18.2099841711287,1.97839001814556e-05,0.000114782267719436
"hsa-miR-100-3p",-2.52363411048582,3.94841848039863,17.9318063633611,2.28962587674816e-05,0.000131653487913019
"hsa-miR-100-5p",0.650761939183509,17.1647402801213,17.8159546358313,2.43334263076346e-05,0.000138678995947935
"hsa-miR-7-5p",-1.00196855770061,14.1326676279817,17.6957658274535,2.59202932241964e-05,0.00014642691961739
"hsa-miR-2110",1.18716031978497,5.36416596126147,17.66251717632,2.63773628128205e-05,0.000147713231751795
"hsa-miR-125b-5p",0.611054991185009,11.6190708589674,17.6189657360302,2.69883406700435e-05,0.000149831822340586
"hsa-miR-505-5p",1.60729614400802,4.75553850968083,17.582659386793,2.75085343841993e-05,0.000151414496952345
"hsa-miR-320b",0.746822080957072,9.17390020421646,17.279185118684,3.22702509217462e-05,0.000176118996555971
"hsa-miR-203a-3p",3.00199280481234,2.84860222829189,17.2376686423948,3.29831350528284e-05,0.000178496966168248
"hsa-miR-24-3p",0.574799991586084,12.5359713403902,17.003682870319,3.73073838757329e-05,0.000200216293466433
"hsa-miR-3529-3p",-0.975467808270118,14.1471477593867,16.4334346543257,5.03885762406299e-05,0.000268183827264179
"hsa-miR-1244",4.95389250945077,1.90135098175374,16.3368212974062,5.30236018385476e-05,0.000279895078557579
"hsa-miR-101-3p",-0.694419958945709,10.4383997579547,16.1502819598579,5.85098589384782e-05,0.00030634430208439
"hsa-miR-6808-3p",3.8828785127944,2.18223422950363,16.1133991749106,5.96604318071466e-05,0.000309849339385503
"hsa-miR-320d",1.72736375426988,3.82208862941666,15.9277713982343,6.58060432445641e-05,0.000339032734795994
"hsa-miR-129-5p",0.807322721226251,11.9866380053473,15.8494674646689,6.85858349241373e-05,0.000350549822945591
"hsa-miR-16-2-3p",-0.601816650505236,9.91575468577063,15.3273400566014,9.03987021725041e-05,0.000458399718103092
